프롬프트-캐싱과-비용.html  2560x1080
| 쪽 | 상태 | 위 | 아래 | 왼쪽 | 오른쪽 | 프레임 상자 | 아래 끝 |
|---|---|---|---|---|---|---|---|
| 1 | 정지 | 80 | 80 | 80 | 80 | 80,80 → 2480,1000 | 1000 |
| 1 | 완료 | 80 | 80 | 80 | 80 | 80,80 → 2480,1000 | 1000 |
| 2 | 정지 | 80 | 80 | 80 | 80 | 80,80 → 2480,1000 | 1000 |
| 2 | 완료 | 80 | 80 | 80 | 80 | 80,80 → 2480,1000 | 1000 |
| 3 | 정지 | 80 | 80 | 80 | 80 | 80,80 → 2480,1000 | 1000 |
| 3 | 완료 | 80 | 80 | 80 | 80 | 80,80 → 2480,1000 | 1000 |
| 4 | 정지 | 80 | 80 | 80 | 80 | 80,80 → 2480,1000 | 1000 |
| 4 | 완료 | 80 | 80 | 80 | 80 | 80,80 → 2480,1000 | 1000 |
| 5 | 정지 | 80 | 80 | 80 | 80 | 80,80 → 2480,1000 | 1000 |
| 5 | 완료 | 80 | 80 | 80 | 80 | 80,80 → 2480,1000 | 1000 |
| 6 | 정지 | 80 | 80 | 80 | 80 | 80,80 → 2480,1000 | 1000 |
| 6 | 완료 | 80 | 80 | 80 | 80 | 80,80 → 2480,1000 | 1000 |
